Date,Time,SPX,SPY,QQQ,NDX
2025-10-06,16:00:00,6740.28,671.61,607.71,24978.56
2025-10-07,16:00:00,6714.59,669.12,604.51,24840.23
2025-10-08,16:00:00,6753.72,673.11,611.44,25136.62
2025-10-09,16:00:00,6735.11,671.16,610.7,25098.18
2025-10-10,16:00:00,6552.51,653.02,589.5,24221.75
2025-10-13,16:00:00,6654.72,663.04,602.01,24750.25
2025-10-14,16:00:00,6644.31,662.23,598.0,24579.32
2025-10-15,16:00:00,6671.06,665.17,602.22,24745.36
2025-10-16,16:00:00,6629.07,660.64,599.99,24657.24
2025-10-17,16:00:00,6664.01,664.39,603.93,24817.95
2025-10-20,16:00:00,6735.13,671.3,611.54,25141.02
2025-10-21,16:00:00,6735.35,671.29,611.38,25127.13
2025-10-22,16:00:00,6699.4,667.8,605.49,24879.01
2025-10-23,16:00:00,6738.17,671.76,610.58,25096.05
2025-10-24,16:00:00,6791.69,677.25,617.1,25358.16
